32.05,10,21,0,3,15,15,3,2,5,3,1,5,2,0,35
35.18,10,20,1,1,5,6,8,6,14,3,1,1,2,0,26
18.27,1,4,0,0,0,0,0,4,4,1,3,0,1,0,2
22.4,1,1,1,1,0,0,2,2,4,0,1,1,0,0,3
26.47,4,9,1,2,0,0,0,3,3,4,4,0,2,0,9
17.85,4,9,3,5,0,0,0,1,1,5,1,4,0,0,11
28.17,8,14,3,5,1,3,1,3,4,3,2,0,2,1,20
16.57,1,4,0,0,0,0,4,4,8,0,3,1,1,2,2
11.13,2,4,0,0,2,2,3,3,6,2,1,0,2,0,6
20.87,4,10,2,6,0,0,0,5,5,2,1,1,0,0,10
3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.68,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0
3.68,2,2,1,1,0,0,0,1,1,0,0,0,0,0,5
36.6,11,18,1,3,4,5,0,10,10,4,2,2,0,2,27
32.62,7,14,2,5,2,2,5,7,12,6,2,5,2,1,18
20.08,1,1,0,0,0,0,1,2,3,1,2,0,3,0,2
33.35,5,13,1,6,0,0,0,1,1,2,4,0,1,0,11
34.1,9,18,3,10,5,6,0,3,3,4,1,0,4,0,26
26.8,1,3,0,2,0,0,1,1,2,3,3,1,1,0,2
13.37,2,8,0,4,1,2,0,0,0,2,0,0,0,1,5
10.65,1,2,0,0,0,0,1,1,2,0,2,1,4,1,2
12.9,1,3,0,1,0,0,0,2,2,0,0,1,1,0,2
9,1,3,0,2,0,0,0,0,0,2,0,1,0,1,2
3.17,0,0,0,0,1,2,0,0,0,0,3,0,0,0,1
3.68,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2
3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.9,7,13,1,4,11,11,4,4,8,3,2,1,1,0,26
40.22,11,24,1,2,5,6,2,6,8,3,4,3,6,1,28
16.02,2,5,0,1,1,1,0,2,2,1,5,1,1,1,5
33.2,3,5,2,3,0,0,1,1,2,2,3,1,3,1,8
37.28,1,8,0,6,3,4,1,1,2,3,3,2,1,0,5
25.55,4,9,2,3,2,2,1,0,1,1,4,0,1,0,12
15.53,0,1,0,0,0,0,3,4,7,1,0,0,1,0,0
12.9,3,6,0,0,0,1,1,1,2,2,1,1,1,1,6
25.68,7,10,1,3,2,3,0,1,1,1,2,3,2,0,17
0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.4,2,3,0,0,0,0,1,3,4,2,0,1,0,0,4
38.53,11,21,2,8,10,12,2,3,5,4,4,1,3,4,34
36.6,3,6,0,1,3,3,3,4,7,7,5,2,3,0,9
25.58,4,6,0,0,3,4,5,4,9,3,3,1,1,1,11
38.68,2,11,1,3,1,2,1,3,4,3,5,3,2,2,6
39.18,14,26,7,16,5,7,2,5,7,3,0,3,4,0,40
10.2,1,1,0,0,0,0,0,0,0,1,0,1,1,0,2
5.32,0,0,0,0,1,2,0,1,1,0,2,0,1,0,1
23.05,2,5,0,0,0,1,4,2,6,1,1,1,1,0,4
8.03,0,2,0,0,1,2,0,1,1,0,3,1,2,1,1
10.13,1,2,0,1,0,0,0,2,2,0,1,0,0,0,2
4.68,1,1,1,1,0,0,0,1,1,0,0,0,1,0,3
39.13,6,10,0,2,8,8,1,9,10,2,1,2,1,1,20
41.78,7,14,3,6,1,2,2,7,9,2,4,1,3,1,18
32.83,2,6,0,0,2,3,4,7,11,0,3,1,4,1,6
45.92,12,22,5,10,9,10,1,3,4,2,2,2,2,0,38
44.07,8,23,1,8,1,2,2,5,7,11,1,0,3,0,18
16.13,1,2,1,2,2,2,0,1,1,0,0,0,0,0,5
10.77,0,1,0,0,0,2,0,0,0,1,4,0,1,1,0
5.67,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
0.15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
